# tensor-level manifest for dv4_proj_weights.safetensors
# tensors: 334   header_bytes: 32015
# __metadata__: {"model": "<ABSOLUTE_MODEL_PATH>"}
# NOTE: __metadata__ is machine-specific (absolute model path) and is EXCLUDED
#       from the hashes below. Compare these, not the file hash.
# name	dtype	shape	nbytes	sha256(raw bytes)
layer_18.comp.wkv.weight	BF16	(1024, 4096)	8388608	54f1003db449aa19b712d812b50d79d22dbae97e803e71001429d9edbfe4d645
layer_18.idx.ape	F32	(4, 256)	4096	69db3bc459b939438a31546bb2929588b4512b2b2cd86ab23471b7d8e4b2f91e
layer_18.idx.norm.weight	BF16	(128,)	256	66d17545db853a292b090cb67fc9d0265cbc095cd7a37d031829d0c39ff1805f
layer_18.idx.wgate.weight	BF16	(256, 4096)	2097152	ac17db89c3fc7bfe76482031ed4309a6de0f00dd24d24546f86501378fb1c80a
layer_18.idx.wkv.weight	BF16	(256, 4096)	2097152	0d07625f92b81846d475916a5831df3e8b21b7dff3584047f1642fcadd07d941
layer_18.kv_norm.weight	BF16	(512,)	1024	43b3fdf9df5a9ea566822f8ba87e90e7c7fe9baa7bc3d21b77116d94485bf3cd
layer_18.wkv.weight	BF16	(512, 4096)	4194304	4baf25e45dcd4269fe7f774f37945d4ffbcae866ae8ad034981a48db4c133b6d
layer_19.comp.ape	F32	(128, 512)	262144	cead7e543348a4afe4942c7bf1c10854a6b46ad3d087dcbbfca08f0375e9b4a2
layer_19.comp.norm.weight	BF16	(512,)	1024	12bd14cf7c29610444feaf58293a49e2afc22df013fd3961b1dc4b954eea5494
layer_19.comp.wgate.weight	BF16	(512, 4096)	4194304	83a7f946b7d51da872b9d3a80390e9c9add76c766f8a1d6e2bf90312dff51e78
layer_19.comp.wkv.weight	BF16	(512, 4096)	4194304	4ed41e0c15ce3af040551497de3a965e6a22e498abf5da9ab60630e4d039d7ac
layer_19.kv_norm.weight	BF16	(512,)	1024	ee57235332f0f7d38dd89d9f940cbf35f41b7072d3056b59e0b43b7a70f0dd6d
layer_19.wkv.weight	BF16	(512, 4096)	4194304	862c84c5c0a0eae3893d00c9808059a199a09291a7cf4675fabc5193843e0cb6
layer_2.comp.ape	F32	(4, 1024)	16384	f93afef4a88371262663f89f026a48b79f7187bd9d6498742c1db2860ae73554
layer_2.comp.norm.weight	BF16	(512,)	1024	95931e541c6589fa43f2d24b8dfbb93ac6d948fbc4053786daac5dca7ff47d02
layer_2.comp.wgate.weight	BF16	(1024, 4096)	8388608	b2609470385caf2fe20cda729aa8b37cd3d65cdb877ca220d064c677d11c7d78
layer_2.comp.wkv.weight	BF16	(1024, 4096)	8388608	0247c85dc0f6ccd8356b333c691c518eda037e350cac7cb7a6542463e6e86d76
layer_2.idx.ape	F32	(4, 256)	4096	cd52ad9886a5cca4e01f24222cdd9c390da870c41ed51b38f1f4eb6dddb1da48
layer_2.idx.norm.weight	BF16	(128,)	256	4d8262f3a9a063243553d9b4ba445b2a28c740e972573e25a5da3fba7e48e214
layer_2.idx.wgate.weight	BF16	(256, 4096)	2097152	6e15bcf0cbcea64e0a6490457b2588b31c5eae668e4aac76912aa7036db38eaa
layer_2.idx.wkv.weight	BF16	(256, 4096)	2097152	0b000926c809a0b34ff42cc992ca095c7ae079d1d0a45c6fbba3d87b45be1c26
layer_2.kv_norm.weight	BF16	(512,)	1024	c84461c3cf90530a723debef4e92bdbdbd1c7658f963cddfa5294b532c657353
layer_2.wkv.weight	BF16	(512, 4096)	4194304	e07dc46e64513463b6ccf2b04bc57fba65047660bb8494e1b5b41ea4147e38f5
layer_20.comp.ape	F32	(4, 1024)	16384	36a1bdcc0bb9202f74bd25e320da17ed5d71dad0c9b4b57404364ed9a7c586bd
layer_20.comp.norm.weight	BF16	(512,)	1024	93455e91bacc4b2688299856341926691fb5e51383d47d100a1e348f1327ace4
layer_20.comp.wgate.weight	BF16	(1024, 4096)	8388608	56513d45457a023b150821b836b7d1bec7f47d57d2642cd27315ef5012f18689
layer_20.comp.wkv.weight	BF16	(1024, 4096)	8388608	7d9d80505452ab171bb957f13247d60db989108366aac8e9a32f4f13b008953a
layer_20.idx.ape	F32	(4, 256)	4096	2c85ceded4602db56a6faccf908ab60188eda16fba304532172b7666de8c35c4
layer_20.idx.norm.weight	BF16	(128,)	256	b46c3088bd69318bc6556173675f7a9a8f6e2072a35bf7fdc34c0e3404d02f1d
layer_20.idx.wgate.weight	BF16	(256, 4096)	2097152	384debeda485439e4c8483c8aa3e83dfe6350ca256e27aa9095829b49be6328b
layer_20.idx.wkv.weight	BF16	(256, 4096)	2097152	1c7977473c6bbd1625ca663fb38d9283fedab482d06f1d084455a83a143517e8
layer_20.kv_norm.weight	BF16	(512,)	1024	d20be570aa1c7ce6a7332ed878addb16a6b792534e61d050479b36de2b4419cf
layer_20.wkv.weight	BF16	(512, 4096)	4194304	548708e6628883dbd9f657e7de6dc4d154287b60653516fe6a6e5b7a6e1cc91d
layer_21.comp.ape	F32	(128, 512)	262144	0e3cb92e5c21f6b622906cc27478ec149a88ee74446a434750aec3037230a57f
layer_21.comp.norm.weight	BF16	(512,)	1024	5b319bf3264989ed91ee5304c2a36ad16f245d2c6b3a9b94d167c41c4a5ee366
layer_21.comp.wgate.weight	BF16	(512, 4096)	4194304	ae86ccadddcacf71b21dac27b404159ef8213c7bf783120d9f2a025f2fa36d43
layer_21.comp.wkv.weight	BF16	(512, 4096)	4194304	e69f94ea08793910eb417b45e969ef39430ee62d1b5feee4d39c01627acd7163
layer_21.kv_norm.weight	BF16	(512,)	1024	046d2111ae5a55cc843a7735628c23cb48fe9414562f2293fc46018e4b0b7cd8
layer_21.wkv.weight	BF16	(512, 4096)	4194304	ddc901e845aaaf206eb6e5d9a5d70666f2a0cb41782b8cce42da3d2bc2a5e58d
layer_22.comp.ape	F32	(4, 1024)	16384	8c6b59cb64deb7f9300d6bb7148ff3268523f942311d4445a70650f8f0b4d043
layer_22.comp.norm.weight	BF16	(512,)	1024	a088230c0aff223b35df54924ad5da1b5f6c432c90b2befa61335146a0931e6d
layer_22.comp.wgate.weight	BF16	(1024, 4096)	8388608	4ff5eb3122905fd74739e2e99abd54b81bb0a6f849dc3464a7e0987d2f732a7f
layer_22.comp.wkv.weight	BF16	(1024, 4096)	8388608	d376bb26a4682a96264773845ed322b96cb675dff5993b31c3bcb34645116f06
layer_22.idx.ape	F32	(4, 256)	4096	c27b677e80e5aee80a9661239f59aaa698ef76b6c175778feeedf29d76a99139
layer_22.idx.norm.weight	BF16	(128,)	256	1fe7373066437c3f49fd2359b9d5aa64c00afce0d96923fa25a4953a81c709bd
layer_22.idx.wgate.weight	BF16	(256, 4096)	2097152	ff3104b1062b9b399bc2e66fc3b1f82f0a68d1b65c4e6309ae9e843e620520e6
layer_22.idx.wkv.weight	BF16	(256, 4096)	2097152	8f636478ba79c82f511b7fe0c2d1f48ed351eb8b07a4192c1496c3c26d46e323
layer_22.kv_norm.weight	BF16	(512,)	1024	bd3a4fceac5cfd7de5f82001dd1d062e391515d9e5e9438a8490bbeb0e2792b7
layer_22.wkv.weight	BF16	(512, 4096)	4194304	2785f406ead8dedb5e13ee587c25c1868a7474c68d641f845444a88804a9b524
layer_23.comp.ape	F32	(128, 512)	262144	c83782443ffb9432ed6a29757b984f065e9803b231f73d802cd78069c5262e90
layer_23.comp.norm.weight	BF16	(512,)	1024	b6b4845ebb1f56b934b20890dead286d0f9db3d30ace5ccea99b86a0704027a0
layer_23.comp.wgate.weight	BF16	(512, 4096)	4194304	ec1577c86a8baf9e7bf0785d137d57b3c061f9cfbb22b7cecb7821b88708bd75
layer_23.comp.wkv.weight	BF16	(512, 4096)	4194304	41b4f9227e433974ba62ebcb5bd9fc3ca52c71a8446460c66f90e541751e3a38
layer_23.kv_norm.weight	BF16	(512,)	1024	11ee2a6c2ff7216696fe7bef42cfc287930da4e2978ae0be55296b329e75cb29
layer_23.wkv.weight	BF16	(512, 4096)	4194304	86f786669fdc0e10bc690963874c2420c13d76e9948f5d51debf0878028f1619
layer_24.comp.ape	F32	(4, 1024)	16384	b50c1f4c1ea2b0902a26a4723d662456815d23ff5714a988039d3a4f67b0a48d
layer_24.comp.norm.weight	BF16	(512,)	1024	601704615a30d1f8d3e0f713caa5037d916c6f1d0c01e9cddccba8c7fca6fe10
layer_24.comp.wgate.weight	BF16	(1024, 4096)	8388608	81da256c7640e6397429f48fd46e1e92fd5dbad0fe2882566be6140ae8c4b8c0
layer_24.comp.wkv.weight	BF16	(1024, 4096)	8388608	17a7deadad32ae808ab9c4494b4ca238e332c4ae1b8b69f51aee5248506fd0f8
layer_24.idx.ape	F32	(4, 256)	4096	0dd112baa8c3d553ab3d69029717e3c4861976387fefd965b9fc2b135f30d874
layer_24.idx.norm.weight	BF16	(128,)	256	162dc5ea74f706a28a42f515f2b8aa7802212e7fdeac598fa11921987432d895
layer_24.idx.wgate.weight	BF16	(256, 4096)	2097152	eb48f560fc76a136035d0a43a208a7500cc33535d7311773bde5cd091a37d9fc
layer_24.idx.wkv.weight	BF16	(256, 4096)	2097152	e0de05a1212f2853a0448b67c9884648c60f0447eaf218dad3a6c58758cd9a8b
layer_24.kv_norm.weight	BF16	(512,)	1024	c605491926cc4b5cc04c2a8281307f825e009bda1c3f3e1d4ece1174a857ae67
layer_24.wkv.weight	BF16	(512, 4096)	4194304	a015480f923a5a05605fa58cd24bd3552aad50e631fa81e24a583e248c935231
layer_25.comp.ape	F32	(128, 512)	262144	0901e35c91f5ab985d9655c87c9855dcfcbbd6fd3ba6c623273a4c93c2af469b
layer_25.comp.norm.weight	BF16	(512,)	1024	aaca4ee502e22eb79c362a197fade0f26a170903c23be5adc4767891de3109a5
layer_25.comp.wgate.weight	BF16	(512, 4096)	4194304	cb9c694fd4de40e61a4050d87256d1bf835909226402d3143ab3cb84434dbd74
layer_25.comp.wkv.weight	BF16	(512, 4096)	4194304	76bde5421035c8f43683a8c367e960889531c0975dbd476ac7ab173f54b945f6
layer_25.kv_norm.weight	BF16	(512,)	1024	6a2f598bd572115c89c67e6cd59feae91aa695f01300cc83399f7dffb61965ff
layer_25.wkv.weight	BF16	(512, 4096)	4194304	5a8f8b8013d6d6cd4a363c5ecd3cd43bc66a12decf1662457b85aa269b358ae7
layer_26.comp.ape	F32	(4, 1024)	16384	aae6457759a8723af50878ecdf8006e15d1b8f38792d2f0157fc674182d113e5
layer_26.comp.norm.weight	BF16	(512,)	1024	08dd96d646ef13c129a25f5ef707d751ce640a8d13d9a5c283ba42475935ff75
layer_26.comp.wgate.weight	BF16	(1024, 4096)	8388608	a91c6f149955e3fd3aa069b069e3ac668bd78f3118011db05632ade6746597a9
layer_26.comp.wkv.weight	BF16	(1024, 4096)	8388608	867af5db2032270a6ffbd598493fa62e0c18dcf1cd8f4ea65186d08c3be4e91b
layer_26.idx.ape	F32	(4, 256)	4096	c2d26ece5fa3589be00b1bbb0c141adbce159520c81914d65687940d23e2e2ee
layer_26.idx.norm.weight	BF16	(128,)	256	ab5b537bfeff7290aac82ef277e8e3f462184f1fda97ccc0b6ca91965ec12500
layer_26.idx.wgate.weight	BF16	(256, 4096)	2097152	144ee5704edbb766d94b51b4c957548a7c5d9181d96896d7489d3bbe59d8b7ac
layer_26.idx.wkv.weight	BF16	(256, 4096)	2097152	4074a4b5682eb28e612996868dd4dcc6a6fc0d62310d6b593625bd503d0ca7d0
layer_26.kv_norm.weight	BF16	(512,)	1024	1e13126b2c45b404d47f2ca9d302962ac0f56491c36345c3603c19a88a4b954f
layer_26.wkv.weight	BF16	(512, 4096)	4194304	595b057d6ac3b5055fd55d7e940afe6879f804db30c75c0268aab284049d2936
layer_27.comp.ape	F32	(128, 512)	262144	400df79bb8ca3b810a1b5cfb908bd13fdaca82b65592f30ea8b386373d01ac5e
layer_27.comp.norm.weight	BF16	(512,)	1024	58f40981620e0e30618c19f01217baeab00da05cb92e5874aee93e79e1d6d216
layer_27.comp.wgate.weight	BF16	(512, 4096)	4194304	679618c964c9c9f30082deee413716e0a17e3769917d1a968ab5dbc32059a6de
layer_27.comp.wkv.weight	BF16	(512, 4096)	4194304	3184c63178ccf9eae903eaad3b4edae9f1c3334305064f2ff3cabe1e3f340c57
layer_27.kv_norm.weight	BF16	(512,)	1024	8f3dd437714cea4cf531903943f2386a9b4bac5db13603faca311669f8ab977e
layer_27.wkv.weight	BF16	(512, 4096)	4194304	c8127583e01d72fb3b751e95fcea47b86b0444732d987fda551812c2b01be53e
layer_28.comp.ape	F32	(4, 1024)	16384	e264abf7d8d463b144f80a325d8d195421dde8602103e0ce068b90983a97e61f
layer_28.comp.norm.weight	BF16	(512,)	1024	fc1880fb089bff862e6af13489628ae57cb594a5234d50a19805a70ad2658dd9
layer_28.comp.wgate.weight	BF16	(1024, 4096)	8388608	c524c1cc53c2bffd079447646d0f45d3acc4e90f0e3e0e72025165042bd28aea
layer_28.comp.wkv.weight	BF16	(1024, 4096)	8388608	6e2832eb64cdd9f1777e113240bccaa39e1b36679121ea13d55cdcd1d1b8482c
layer_28.idx.ape	F32	(4, 256)	4096	34add1f8d06c11b9e8ab41894c975fd83e04088b17bbb4b36e697baf1afa39b5
layer_28.idx.norm.weight	BF16	(128,)	256	17c2ed45a99e0aba6ac346a46e641a2ce3fd7d7a56cbcb1b44fed71afe5af838
layer_28.idx.wgate.weight	BF16	(256, 4096)	2097152	0abfd0d998c3ec492f2f583a51e4224435cec03c10654b508bdd1be5d766669b
layer_28.idx.wkv.weight	BF16	(256, 4096)	2097152	1fd6d4a139e966bf1837e98e74ebb81f2dff95665b96ccb7216427002e7ea9c8
layer_28.kv_norm.weight	BF16	(512,)	1024	46475eae507008195fa9e1ed9c707bc7f5aba1883ad51969193a82f78676d964
layer_28.wkv.weight	BF16	(512, 4096)	4194304	0fbd95132941ba38c95e23fc2151dbf84736830c5aab6c1821a8a1ee7b78960f
layer_29.comp.ape	F32	(128, 512)	262144	73949233b15d41b8c981b3e8232ba297a5cfcb4664c9f63ae3cea35151880b88
layer_29.comp.norm.weight	BF16	(512,)	1024	0b06123440293bc3812f04b67fbc52753680cedf42b59d2df8b4708de0db9ace
layer_29.comp.wgate.weight	BF16	(512, 4096)	4194304	2667201562e5fc7ec2dcdd4ac883cf095e25a6abf39ea4c87ac561a989ff28a3
layer_29.comp.wkv.weight	BF16	(512, 4096)	4194304	1993badf78749b582793dc0be3b01fea85fd39df1e63ea076151833a4d97cb47
layer_29.kv_norm.weight	BF16	(512,)	1024	8ce90592a8eaedcf47b783e210debab7c4b2e014a658b0e125517b7ac53b8366
layer_29.wkv.weight	BF16	(512, 4096)	4194304	7bd0e58219a9dad92fbfa57277991f6ff1a64c52a0c9d2e7cae6a50a68b4188c
layer_3.comp.ape	F32	(128, 512)	262144	45dd77ea17251870d56afb429a0a76093fdadc290500aed27130d1ad32375716
layer_3.comp.norm.weight	BF16	(512,)	1024	e69b27869126dd5e5e6eb96bfa92bdee4c7474ced3f7af8b909416860de765fe
layer_3.comp.wgate.weight	BF16	(512, 4096)	4194304	282fce242df3dd61eceb2ef751130dee076b83b55955849e1670bb53dc6e8883
layer_3.comp.wkv.weight	BF16	(512, 4096)	4194304	79cd97ab7621210200ea2b3161878f7e32633dbc3bdf6d27516e6518220b8637
layer_3.kv_norm.weight	BF16	(512,)	1024	42eff990439d348e734b9e4eb0ee1119520042f78ccc0bbcc38cd6bdd6135f83
layer_3.wkv.weight	BF16	(512, 4096)	4194304	a9a5943e31f109460ec7424bb0f32617efd3bd4ce6fe9e532f7032ead9c0c8c6
layer_30.comp.ape	F32	(4, 1024)	16384	ab84eb160bc52c8aa5907ee7e8f34f3a2fd41c8cbd37aa24b8e2d3e1e7af2e59
layer_30.comp.norm.weight	BF16	(512,)	1024	4c1fa6030044bf1994b01205673eb6b17f2216a445d1d562bc1dff826f412ee1
layer_30.comp.wgate.weight	BF16	(1024, 4096)	8388608	37a385c2635a0675b66a46475ff8c3357c86a7a434fea60f6f9c00b3bc59c082
layer_30.comp.wkv.weight	BF16	(1024, 4096)	8388608	0329030107a7165284d55f087798c4fd992b76cfd7a86931ab34c8ac9dbedc37
layer_30.idx.ape	F32	(4, 256)	4096	7831f4136dea411573acef2697af89d26aaa8a6ad7174118d5eb6e4cae2de0e3
layer_30.idx.norm.weight	BF16	(128,)	256	a70af69356a41cf39b751d8ecf137dd2c7e84a8dca2bffd989716e8929358fce
layer_30.idx.wgate.weight	BF16	(256, 4096)	2097152	c4f7a0bc4716325289444d9a4fcb696546d61cadb5da6203037e508670c74c4d
layer_30.idx.wkv.weight	BF16	(256, 4096)	2097152	084ac63c4ad7ade1cc42d3c3b7d06c11344d1c57340ee4d8ce405521e115f628
layer_30.kv_norm.weight	BF16	(512,)	1024	527b98418a37d38056a7c349b97cb89bd352404b1b7fabda64da5332fd1db711
layer_30.wkv.weight	BF16	(512, 4096)	4194304	09186fb8ecbb28f3eaa83580875bec5f3394c0b491626b484753a49a60922d41
layer_31.comp.ape	F32	(128, 512)	262144	f45d79fc7d336534e2dc3e851ce862aeac51981c70e7ced9e13572cc7a41dbed
layer_31.comp.norm.weight	BF16	(512,)	1024	f0ec397749b065b2f86d184f314ac2d5648f5aa5ae6216f611ea12b43c7e4d48
layer_31.comp.wgate.weight	BF16	(512, 4096)	4194304	b56fde3851d683f2ae5f7088cb4a2b2389017f61c6f7021827b979bcb9d1983e
layer_31.comp.wkv.weight	BF16	(512, 4096)	4194304	911016e4ea8a1ef4eab285f593da793ef423f774c7905618e7c46064676a9492
layer_31.kv_norm.weight	BF16	(512,)	1024	020e2bd98653584a0aea0f0e4efec706115cfec5f9402375a012a20077d0b379
layer_31.wkv.weight	BF16	(512, 4096)	4194304	f113333c904e4cb2082b79f669a0e479e3bd5b9f604bdd081982c2ab9201ff93
layer_32.comp.ape	F32	(4, 1024)	16384	d7c021f58876b032fc5e13be77d2707b672905cbaae78e1b1d3de066da6713b3
layer_32.comp.norm.weight	BF16	(512,)	1024	f56467a9ee350a7a6646f39cd4eb126b2287a1d9881524c551559205f940b45f
layer_32.comp.wgate.weight	BF16	(1024, 4096)	8388608	e2597a64ad13be5c26c4dc2a28edd050175d3b9c2e6835043c3f30061e5b6c7c
layer_32.comp.wkv.weight	BF16	(1024, 4096)	8388608	ae6208490f5c3f17a03c2c1240045decfafae960e612a370b15189fa8478f57f
layer_32.idx.ape	F32	(4, 256)	4096	38ce1d1dc9577e89be4b567257f092bd7fbd75862d0b7718cfe5c844a97fb237
layer_32.idx.norm.weight	BF16	(128,)	256	709fa136e0da87379924584a3ba1d1a322237b380562505c8bcb42332bd49fcf
layer_32.idx.wgate.weight	BF16	(256, 4096)	2097152	235c3a69f115873d42ea16e91ac9273f5c4974db35cee99bc1465e6c78b8aa41
layer_32.idx.wkv.weight	BF16	(256, 4096)	2097152	9636a20dca0412a3843dc02899bafeaa5577a857a3c9d810fab328a9ce7b14bb
layer_32.kv_norm.weight	BF16	(512,)	1024	7f5e3be2a6ad5d679ef56e22869264fbbf7fa4226b5b6a271556c8c8eb33930e
layer_32.wkv.weight	BF16	(512, 4096)	4194304	b81b837e8e48c06a40f8512d9c017a0096264eac3afa64a711521897ed974ed8
layer_33.comp.ape	F32	(128, 512)	262144	416eb4bfd0d9a8086d744d9975bba1893fe8c17dbf583b0f7a811268653223a1
layer_33.comp.norm.weight	BF16	(512,)	1024	103dfdb846608ab26208cbddd7a46841a303f1713e68ae2d809a5dd29cd01fa4
layer_33.comp.wgate.weight	BF16	(512, 4096)	4194304	93d137437793cdeef36e2211460af62b38469c23ee12b6fa71f021ff9d91537d
layer_33.comp.wkv.weight	BF16	(512, 4096)	4194304	5a2a8eb6ee739c8d07c271395a6db66e9bbedcc21b10c86f6006c0b7265cd319
layer_33.kv_norm.weight	BF16	(512,)	1024	aa84cb2ef1fc8463f57e5da0650819d7d644fb50623fbdbd54bc4837c229380e
layer_33.wkv.weight	BF16	(512, 4096)	4194304	2d351945e53646c425f6d381146baf3480646e0325d0640e04848827d7314731
layer_34.comp.ape	F32	(4, 1024)	16384	c521ec7af7407ea3a278d8a0cc3fe6d533a777035781a00ee909eb15288e07c9
layer_34.comp.norm.weight	BF16	(512,)	1024	34d09b11fa479129b240d0889029289fd6c9b6e7a27230d83ba62fc8ab71f500
